economy,YR2015,YR2016,YR2017,YR2018,YR2019
DEU,4.1342,4.1944,4.2488,4.2996,
DNK,3.9257,4.0099,4.1324,4.2247,
ESP,3.8267,3.8112,3.8723,4.0299,
FRA,6.4477,6.4752,6.5131,6.5344,
GBR,5.4864,5.5095,5.5691,5.6162,5.8233
GRC,5.9914,6.2149,6.1725,6.2262,
ITA,7.6959,7.9008,7.961,7.9272,8.013
JPN,,2.4115,,2.4796,
KOR,2.2494,2.3037,2.3608,2.4082,
USA,,,,2.6036,
